user_id,course_id,course_name,instructor,course_duration_hours,certification_offered,difficulty_level,rating,enrollment_numbers,course_price,feedback_score,study_material_available,time_spent_hours,previous_courses_taken
17569,6917,Blockchain and Decentralized Applications,Isabella Scott,81.7,No,Advanced,3.7,21066,49.89,0.619,Yes,37.5,4
19770,1506,Photography and Video Editing,Dr. John Smith,56.8,Yes,Advanced,2.5,33298,149.22,0.648,Yes,22.51,9
28694,9534,Cloud Computing Essentials,Sarah Lee,87.1,No,Intermediate,3.7,6067,99.55,0.739,Yes,33.88,5
6397,1759,Fitness and Nutrition Coaching,Prof. Emily Johnson,88.5,No,Beginner,3.6,44312,178.6,0.598,No,14.45,1
27481,1945,Mobile App Development with Swift,Sarah Lee,56.7,Yes,Intermediate,3.3,13140,100.1,0.794,No,14.08,4
41435,5570,DevOps and Continuous Deployment,Prof. Emily Johnson,93.1,Yes,Advanced,4.9,9425,344.15,0.679,No,10.02,3
25659,1556,Cybersecurity for Professionals,Charlotte King,43.5,No,Intermediate,3.3,30265,337.79,0.967,No,17,5
18943,6776,Mobile App Development with Swift,Sophia Anderson,37.4,Yes,Intermediate,3,696,492.52,0.758,Yes,53.08,8
18432,1603,Networking and System Administration,James Clark,52.4,Yes,Beginner,4.4,46084,299.01,0.709,Yes,43.23,2
2748,9914,Mobile App Development with Swift,Ethan Hall,34.6,Yes,Beginner,4.4,2348,210.72,0.903,Yes,17.76,7
190,2554,Project Management Fundamentals,Charlotte King,88,Yes,Intermediate,4.4,45752,238.58,0.601,Yes,21.71,4
19119,4521,Data Visualization with Tableau,Sophia Anderson,18.7,No,Intermediate,5,8045,234.97,0.491,Yes,30.32,5
35774,8768,Advanced Machine Learning,Daniel White,43.7,Yes,Beginner,4.7,35165,488.68,0.837,No,34.52,6
1900,870,Fitness and Nutrition Coaching,Olivia Taylor,34.6,No,Beginner,4.8,42144,455.89,0.669,No,1,3
1268,1326,DevOps and Continuous Deployment,Liam Adams,86.6,No,Beginner,3.8,22524,350.71,0.705,Yes,2.14,10
31552,6588,Public Speaking Mastery,Benjamin Lewis,31.8,No,Intermediate,4.4,8622,23.02,0.82,No,7.28,11
11395,2792,Public Speaking Mastery,Dr. Mia Walker,16.8,Yes,Beginner,4.5,35263,478.05,0.8,Yes,30.41,6
3557,9402,Photography and Video Editing,Michael Brown,99.9,Yes,Beginner,5,47013,410.12,0.862,Yes,1,4
3891,4248,Personal Finance and Wealth Building,James Clark,10.9,Yes,Beginner,3.3,11424,456.44,0.976,Yes,16.77,2
41607,6051,Graphic Design with Canva,Isabella Scott,86,Yes,Beginner,3.9,17671,200.38,0.626,Yes,28.03,8
30741,3607,Mobile App Development with Swift,William Thomas,37.1,Yes,Intermediate,1.5,11760,165.52,0.739,Yes,34.79,3
14503,3964,Personal Finance and Wealth Building,Sarah Lee,69.4,Yes,Intermediate,4.9,18205,372.54,0.968,Yes,23.64,2
21778,5334,DevOps and Continuous Deployment,William Thomas,16.9,Yes,Beginner,4.4,19436,499.06,0.677,Yes,6.9,4
10628,3728,Ethical Hacking Masterclass,Olivia Taylor,32.2,Yes,Advanced,4,20222,106.66,0.863,Yes,37.88,3
8793,8134,Graphic Design with Canva,Jessica Martinez,11,No,Advanced,3.9,46920,300.29,0.678,Yes,23.12,3
43324,5607,Networking and System Administration,Emma Harris,6.5,Yes,Beginner,3.9,3834,43.44,0.616,No,39.78,4
43022,7866,Data Visualization with Tableau,Dr. John Smith,80.9,Yes,Intermediate,2.7,47918,304.65,0.37,Yes,1.68,6
8434,3839,Stock Market and Trading Strategies,Emma Harris,53.4,Yes,Beginner,4.9,28912,178.06,0.541,Yes,41.79,5
43002,9535,Project Management Fundamentals,Prof. Emily Johnson,29.3,Yes,Beginner,2.6,39987,217.9,0.953,Yes,35.02,3
11017,9882,Blockchain and Decentralized Applications,Emma Harris,38.9,No,Beginner,4.5,31308,442.29,0.647,Yes,3.54,2
23898,9097,Fundamentals of Digital Marketing,Dr. Robert Davis,70.8,Yes,Advanced,4,25733,418.58,0.691,Yes,10.23,4
2613,4720,Stock Market and Trading Strategies,Benjamin Lewis,50.8,Yes,Beginner,3.6,62,207.43,0.883,Yes,24.51,1
23484,536,Fitness and Nutrition Coaching,Emma Harris,48.9,Yes,Beginner,4.3,25657,359.37,0.624,Yes,7.52,6
48556,687,AI for Business Leaders,Alexander Young,40.2,Yes,Intermediate,4.5,33985,250.42,1,Yes,25.29,1
17160,3773,Cybersecurity for Professionals,Dr. Robert Davis,80.2,Yes,Advanced,5,8054,31.53,0.56,Yes,26.51,7
44975,6757,Public Speaking Mastery,Liam Adams,80.7,Yes,Beginner,3.5,38609,170.75,0.863,Yes,38.76,6
40995,8930,Stock Market and Trading Strategies,Ethan Hall,70.7,No,Beginner,3,17467,33.01,0.934,Yes,10.17,3
14542,1181,Advanced Machine Learning,Benjamin Lewis,87.7,Yes,Beginner,3.8,26248,94.23,0.985,Yes,17.71,5
35921,2914,AI for Business Leaders,Daniel White,79.5,Yes,Beginner,5,5112,487.39,0.611,Yes,1.12,6
26532,788,Advanced Machine Learning,Liam Adams,24.9,No,Intermediate,3.4,41560,292.79,0.607,Yes,8.25,1
1586,773,DevOps and Continuous Deployment,Michael Brown,37.8,No,Advanced,5,34490,323.03,0.886,Yes,19.28,4
3944,8428,Public Speaking Mastery,Dr. Mia Walker,73.7,No,Intermediate,3.9,60,323.04,1,Yes,8.04,3
23940,4574,Cloud Computing Essentials,Dr. Robert Davis,100,No,Beginner,4.3,20610,487.2,0.561,Yes,20.94,7
19458,7547,Blockchain and Decentralized Applications,James Clark,18.8,Yes,Advanced,3.9,14288,288.01,0.476,Yes,9.82,5
1022,690,Ethical Hacking Masterclass,Sophia Anderson,72.8,Yes,Advanced,4.5,32678,276.37,0.601,No,14.12,8
11654,7956,Fitness and Nutrition Coaching,Isabella Scott,51.4,Yes,Beginner,3.3,2241,227.87,0.778,No,12.04,1
43574,5589,Blockchain and Decentralized Applications,Benjamin Lewis,39.7,No,Beginner,2.2,31942,390,0.826,Yes,11.24,4
13418,5268,Stock Market and Trading Strategies,Dr. Robert Davis,13.9,No,Advanced,5,41407,335.85,0.839,Yes,14.45,6
40758,8966,Graphic Design with Canva,Charlotte King,20,No,Beginner,5,760,176.95,0.872,No,8.6,4
9693,8343,Blockchain and Decentralized Applications,Alexander Young,21.2,Yes,Intermediate,2.6,35408,485.44,0.743,No,1.88,4
45759,9693,Mobile App Development with Swift,Michael Brown,62.5,Yes,Advanced,3.9,38855,37.01,0.671,Yes,17.86,2
6874,3234,Fundamentals of Digital Marketing,Daniel White,86.5,No,Beginner,3.3,25618,155.56,0.903,No,1,5
5676,9819,AI for Business Leaders,Dr. Mia Walker,83.7,Yes,Intermediate,4.3,36609,495.1,0.742,Yes,34.3,8
162,9658,Project Management Fundamentals,Dr. Mia Walker,88.5,Yes,Beginner,3.5,37433,405.88,0.513,No,35.23,7
37066,8318,Public Speaking Mastery,Michael Brown,56.6,Yes,Beginner,4.6,12517,292,0.62,Yes,1.11,5
26558,4020,Cybersecurity for Professionals,Michael Brown,64.9,Yes,Beginner,4.7,44888,412.65,0.485,Yes,12.87,4
33764,4212,Fundamentals of Digital Marketing,Sophia Anderson,18,Yes,Advanced,4.8,597,138.91,0.71,Yes,48.81,4
32607,5987,Project Management Fundamentals,William Thomas,51.3,No,Intermediate,4.4,43256,44.22,0.983,Yes,40.51,3
11535,2588,Mobile App Development with Swift,William Thomas,47.7,Yes,Beginner,5,4860,114.6,0.674,Yes,23.5,2
29128,3209,Photography and Video Editing,Michael Brown,56.4,Yes,Beginner,3.8,49727,101.03,0.83,Yes,1,2
40398,7646,Public Speaking Mastery,Dr. John Smith,64.1,No,Beginner,4,34007,135.31,0.602,Yes,28.28,6
25852,3473,Data Visualization with Tableau,Liam Adams,36.7,No,Beginner,4.4,38168,451.9,0.716,Yes,35.31,3
1017,5500,Networking and System Administration,Ethan Hall,32.9,No,Beginner,3.7,6504,132.98,0.617,Yes,26.99,10
24254,4129,Game Development with Unity,William Thomas,40.1,Yes,Beginner,2.8,8450,304.46,0.53,No,32.11,5
24277,6973,Cybersecurity for Professionals,Dr. Robert Davis,14.6,Yes,Beginner,5,31469,266.97,0.745,Yes,23.16,5
23248,5085,Advanced Machine Learning,David Wilson,11.8,Yes,Intermediate,3.4,38239,419.65,0.985,Yes,33.94,5
24301,6949,Data Visualization with Tableau,Sophia Anderson,17.5,Yes,Advanced,4.5,24777,346.56,0.48,Yes,15.26,6
8530,2061,Fitness and Nutrition Coaching,Alexander Young,36.3,No,Advanced,3.4,25469,29.51,0.928,Yes,34.89,8
17263,7464,Networking and System Administration,Charlotte King,38.8,Yes,Beginner,4.2,46042,191.83,0.705,Yes,17.43,8
9269,3326,Personal Finance and Wealth Building,Dr. John Smith,98.2,Yes,Advanced,3.6,26047,428.89,0.719,Yes,30.82,3
21272,4455,Python for Beginners,Isabella Scott,54.4,No,Intermediate,2.7,21632,310.15,0.64,Yes,22.87,1
12186,823,AI for Business Leaders,Benjamin Lewis,12.7,Yes,Beginner,5,16114,60.56,0.594,Yes,23.39,3
21244,2062,Game Development with Unity,Isabella Scott,25.6,Yes,Advanced,3.7,23207,300.42,0.82,Yes,38.61,7
39100,8352,Photography and Video Editing,Prof. Emily Johnson,90.8,Yes,Advanced,5,2575,76.73,1,No,43.02,3
8572,907,Mobile App Development with Swift,William Thomas,98,Yes,Beginner,4.1,26945,74.57,0.629,Yes,24.56,3
39977,2787,Photography and Video Editing,Prof. Emily Johnson,98.4,Yes,Intermediate,4.6,22982,488.1,0.935,Yes,33.57,7
38045,9893,Photography and Video Editing,Sarah Lee,34.7,Yes,Intermediate,4.5,46183,315.29,0.96,Yes,25.36,4
49217,6942,Photography and Video Editing,Isabella Scott,56.5,No,Advanced,5,6535,105.16,0.673,Yes,1.76,6
48985,4429,AI for Business Leaders,Liam Adams,95.5,No,Intermediate,3.3,30951,150.37,0.617,Yes,22.59,6
40775,1574,Stock Market and Trading Strategies,Olivia Taylor,49.1,Yes,Intermediate,4,5911,476.69,0.883,Yes,24.55,6
2569,3251,AI for Business Leaders,Olivia Taylor,21.8,Yes,Intermediate,3.2,11179,486.76,0.64,No,17.54,7
2028,1342,Networking and System Administration,Charlotte King,9,No,Intermediate,2.5,37998,195.86,0.713,Yes,1,6
2696,4705,Game Development with Unity,Dr. John Smith,40.3,Yes,Beginner,3.5,15808,224.78,0.686,Yes,39.06,5
48191,2078,Networking and System Administration,William Thomas,57.1,No,Beginner,4.1,33544,228.15,0.51,Yes,5.84,2
5259,4530,Cloud Computing Essentials,Dr. John Smith,80.9,No,Intermediate,4.7,7200,39.93,0.859,Yes,35.09,10
22003,1031,Advanced Machine Learning,Benjamin Lewis,70.2,Yes,Beginner,5,15975,185.19,0.765,No,1,6
39505,1831,Fundamentals of Digital Marketing,Dr. Robert Davis,5,No,Beginner,4,27690,361.43,1,Yes,19.03,8
33160,5565,Stock Market and Trading Strategies,Dr. John Smith,21.4,Yes,Beginner,2.5,41458,122.91,0.584,No,12.9,3
13987,784,Cloud Computing Essentials,William Thomas,49.7,Yes,Advanced,4.8,23842,410.21,0.762,Yes,5.48,4
12667,8907,Networking and System Administration,Benjamin Lewis,79.3,No,Intermediate,4.3,34541,324.66,0.873,Yes,20.8,1
38661,5029,Stock Market and Trading Strategies,Isabella Scott,11.8,Yes,Beginner,3.7,45688,360.99,0.71,Yes,47.41,4
3562,7477,Mobile App Development with Swift,Isabella Scott,69.3,No,Intermediate,2.9,10366,200.45,0.659,Yes,21.54,4
26855,8782,DevOps and Continuous Deployment,Michael Brown,24.4,Yes,Beginner,4.5,49180,39.57,0.549,Yes,6.28,8
38953,2711,Ethical Hacking Masterclass,Dr. Mia Walker,52,No,Beginner,4.2,16310,55.12,0.691,Yes,23.65,6
22663,5498,Mobile App Development with Swift,Isabella Scott,59.3,Yes,Beginner,4.9,41582,327.75,0.942,Yes,41.01,6
8393,8379,DevOps and Continuous Deployment,Sarah Lee,41,No,Beginner,4.3,34047,183.49,1,Yes,1,5
30536,7519,Personal Finance and Wealth Building,James Clark,13.6,No,Beginner,3.8,33811,418.49,0.654,Yes,7.91,8
13068,9244,Cybersecurity for Professionals,William Thomas,45,No,Advanced,4.9,16867,267.93,0.732,Yes,10.35,4
48034,490,Advanced Machine Learning,Isabella Scott,64.4,Yes,Advanced,3.9,11322,303.45,1,Yes,27.58,5
23600,7166,Graphic Design with Canva,David Wilson,87.3,Yes,Beginner,4.6,29953,460.19,0.989,No,21.1,5
35223,9560,Python for Beginners,James Clark,67,Yes,Beginner,4.4,34147,275.5,0.624,Yes,6.07,4
11838,4787,Data Visualization with Tableau,Daniel White,80,Yes,Intermediate,4.6,7302,221.36,0.636,Yes,17.18,8
14040,1746,Photography and Video Editing,Emma Harris,44,Yes,Beginner,2.7,28437,266.28,0.743,Yes,1,3
30819,7881,Networking and System Administration,Dr. Mia Walker,21,No,Beginner,5,47816,158.35,0.998,Yes,18.51,3
19116,6259,Personal Finance and Wealth Building,Olivia Taylor,81.2,Yes,Advanced,4.1,49654,397.19,0.645,Yes,21.31,1
10966,4899,Photography and Video Editing,Jessica Martinez,74.4,Yes,Beginner,3.5,46388,67.37,0.55,Yes,3.18,9
24539,9355,Python for Beginners,Charlotte King,58.8,No,Advanced,4.4,23131,391.06,0.653,Yes,23,8
42531,5175,Advanced Machine Learning,Ethan Hall,66.4,Yes,Beginner,4.2,46752,125.21,0.822,Yes,2.33,1
5057,8786,DevOps and Continuous Deployment,Emma Harris,88.6,Yes,Intermediate,2.5,20839,175.86,0.458,Yes,16.06,4
32483,2586,Project Management Fundamentals,Dr. Robert Davis,69.3,No,Intermediate,3.7,46643,164.61,0.958,Yes,41.48,5
47717,559,Cloud Computing Essentials,Isabella Scott,26.5,Yes,Beginner,2,32819,443.23,0.654,Yes,27.22,3
8111,8702,Blockchain and Decentralized Applications,Dr. John Smith,30.8,Yes,Beginner,2.4,24093,64.83,0.707,Yes,12.85,4
13774,3569,Game Development with Unity,Olivia Taylor,21.2,Yes,Advanced,3.9,21963,36.75,0.664,Yes,34.62,9
27267,3610,AI for Business Leaders,Jessica Martinez,16.1,No,Beginner,4.2,34931,331.21,0.783,Yes,36.48,4
17413,313,Data Visualization with Tableau,Olivia Taylor,69.7,Yes,Beginner,4.7,15341,457.71,0.749,Yes,4.4,1
33271,7377,Photography and Video Editing,David Wilson,19.7,No,Beginner,3.2,838,471.32,0.938,Yes,1.27,3
6911,3192,Game Development with Unity,Dr. Mia Walker,6.1,No,Advanced,2.6,41004,481.5,0.889,Yes,27.36,7
45454,3663,Personal Finance and Wealth Building,James Clark,45.1,Yes,Intermediate,3.3,15839,306.95,0.558,Yes,6.56,9
25447,1968,Networking and System Administration,Emma Harris,64.7,No,Advanced,3.9,34850,342.71,0.345,No,24.82,3
207,7209,Photography and Video Editing,Charlotte King,45.6,Yes,Beginner,4.4,47931,150.73,0.665,Yes,1,7
21519,6133,Graphic Design with Canva,Isabella Scott,61.7,No,Beginner,4.4,26847,173.91,1,Yes,12.21,7
22362,1792,Blockchain and Decentralized Applications,Charlotte King,75,Yes,Beginner,4.1,7273,400.18,0.918,Yes,26.88,4
23420,8024,Cloud Computing Essentials,Olivia Taylor,24.5,Yes,Intermediate,4.6,15201,145.06,0.69,Yes,30.42,7
48703,4050,Personal Finance and Wealth Building,Charlotte King,45.3,Yes,Beginner,3.9,36816,317.36,0.76,Yes,22.23,5
41524,1610,Mobile App Development with Swift,Alexander Young,48.4,Yes,Beginner,3.2,35989,296.77,0.802,Yes,10.23,8
45152,4612,DevOps and Continuous Deployment,Michael Brown,44.9,Yes,Intermediate,5,16907,65.5,0.837,Yes,1.55,5
22404,5055,AI for Business Leaders,Dr. Robert Davis,97.9,No,Beginner,3.9,21208,76.23,0.691,No,22.08,1
18142,6095,Personal Finance and Wealth Building,Isabella Scott,29.7,Yes,Intermediate,3.9,1228,197.61,0.72,Yes,17.36,5
14821,9738,Stock Market and Trading Strategies,Liam Adams,72.7,No,Intermediate,3.3,48760,155.91,0.954,Yes,1,7
40343,9827,Photography and Video Editing,Benjamin Lewis,52.5,Yes,Advanced,4.6,10594,24,0.844,Yes,7.03,6
6375,8224,Project Management Fundamentals,Prof. Emily Johnson,78.1,Yes,Intermediate,4.2,21356,341,0.67,Yes,5.79,8
1679,2633,Photography and Video Editing,Emma Harris,42.3,Yes,Beginner,3.2,14648,383.33,0.817,Yes,1,5
33828,2463,Cloud Computing Essentials,Dr. John Smith,70,Yes,Beginner,4.6,26588,286.43,0.887,Yes,27.8,4
16199,6377,Game Development with Unity,Olivia Taylor,34.6,Yes,Intermediate,3.7,49950,51.22,0.817,Yes,49.63,3
9915,4495,Photography and Video Editing,Ethan Hall,92.3,Yes,Beginner,5,11809,421.69,0.934,No,4.58,3
27891,7346,Cloud Computing Essentials,Prof. Emily Johnson,79.4,No,Intermediate,3.5,2293,300.51,0.657,Yes,15.55,1
22300,6659,Advanced Machine Learning,Ethan Hall,93.1,No,Beginner,3.6,635,333.8,0.557,Yes,30.47,6
43586,104,Blockchain and Decentralized Applications,Emma Harris,98.4,Yes,Intermediate,4.6,12512,475.84,0.794,Yes,39.91,3
43690,6179,Game Development with Unity,Jessica Martinez,9.5,Yes,Advanced,3.7,22250,433.36,1,Yes,14.28,5
42558,627,Blockchain and Decentralized Applications,Sophia Anderson,95.5,Yes,Intermediate,3.5,4786,122.16,0.85,Yes,11.9,6
49081,6454,Cloud Computing Essentials,David Wilson,83.5,No,Beginner,3.7,27604,361.28,0.758,Yes,18.72,8
44021,6906,Project Management Fundamentals,Dr. Mia Walker,12.9,Yes,Intermediate,2.8,17989,287.98,0.215,Yes,37.37,6
2694,9626,Data Visualization with Tableau,Michael Brown,14.7,Yes,Beginner,4.1,5827,207.86,0.962,Yes,32.35,1
29468,3294,Cloud Computing Essentials,Ethan Hall,44.7,Yes,Intermediate,3.7,4050,153.51,0.751,No,11.87,2
29724,7522,Fitness and Nutrition Coaching,Sophia Anderson,34.4,Yes,Beginner,3.8,44688,169.82,0.88,Yes,33.03,3
46700,5923,Fundamentals of Digital Marketing,Sarah Lee,89,Yes,Advanced,4.2,16116,191.5,0.766,Yes,14.88,6
3628,7906,Fundamentals of Digital Marketing,Dr. Robert Davis,37.9,Yes,Intermediate,4,6392,211.42,0.829,Yes,19.73,4
25940,6384,Fitness and Nutrition Coaching,Liam Adams,94.1,Yes,Beginner,4.1,49149,130.51,0.635,Yes,1,8
48926,3697,Advanced Machine Learning,William Thomas,75.4,Yes,Advanced,2.4,9205,322.23,0.88,Yes,23.05,7
42942,379,Personal Finance and Wealth Building,Alexander Young,29.3,Yes,Beginner,4.9,2575,251.04,0.864,Yes,4.37,9
21835,3216,Networking and System Administration,Olivia Taylor,82.9,Yes,Advanced,2.9,39081,28.23,0.772,Yes,29.89,6
18048,4339,AI for Business Leaders,William Thomas,18.9,Yes,Beginner,4,30808,123.04,0.774,Yes,30.28,7
26106,3921,Cloud Computing Essentials,James Clark,49.5,No,Advanced,3.5,18353,260.8,0.797,Yes,22.74,5
10231,69,Python for Beginners,Charlotte King,40.7,No,Advanced,3.4,45948,387.89,0.552,Yes,1,1
15708,716,Python for Beginners,Sophia Anderson,96.6,Yes,Beginner,3.2,30163,292.35,0.846,Yes,18.37,5
21977,2966,Graphic Design with Canva,Prof. Emily Johnson,86.3,Yes,Intermediate,3.6,21896,399.89,0.663,No,33.74,7
44263,3642,Public Speaking Mastery,Isabella Scott,92.1,Yes,Beginner,5,34056,410.34,0.874,Yes,42.36,6
23777,6951,Networking and System Administration,Liam Adams,57.3,No,Beginner,4.2,2454,350.39,0.973,Yes,6.13,1
30081,1444,AI for Business Leaders,Benjamin Lewis,33.5,Yes,Beginner,4.6,45328,308.48,0.686,Yes,34.35,6
1307,4870,Ethical Hacking Masterclass,Benjamin Lewis,6.7,Yes,Beginner,4.3,26813,336.43,0.673,Yes,21.1,3
6777,4784,Cloud Computing Essentials,Jessica Martinez,26.3,Yes,Intermediate,2.2,13605,249.85,0.822,Yes,20.88,8
27252,8262,Stock Market and Trading Strategies,Benjamin Lewis,50.4,Yes,Intermediate,3.9,36183,358.52,0.495,Yes,28.71,6
9475,5687,Ethical Hacking Masterclass,Michael Brown,80.5,Yes,Advanced,5,46252,57.21,0.467,Yes,38.49,4
40295,9566,Personal Finance and Wealth Building,Emma Harris,49.3,No,Advanced,5,46231,479.86,0.724,Yes,14.25,6
21960,6205,Fundamentals of Digital Marketing,David Wilson,94.3,Yes,Intermediate,3.4,8123,478.91,0.744,No,10.23,3
5531,3326,Project Management Fundamentals,Liam Adams,38.2,Yes,Advanced,4.1,14902,162.81,0.792,Yes,10.59,3
29321,2387,Stock Market and Trading Strategies,Liam Adams,55.9,Yes,Beginner,2.3,7305,310.88,0.887,Yes,28.22,2
3749,7006,Stock Market and Trading Strategies,Olivia Taylor,91.9,Yes,Advanced,3.6,41894,269.44,0.941,Yes,30.2,8
31969,6105,Cybersecurity for Professionals,Daniel White,60.4,Yes,Advanced,3.3,35160,40.44,0.937,No,3.1,5
32563,3978,Photography and Video Editing,Sophia Anderson,60.3,No,Advanced,4.7,47215,483.29,0.734,Yes,15.41,5
13546,2352,Mobile App Development with Swift,Benjamin Lewis,7.3,Yes,Beginner,5,49505,96.52,0.511,Yes,2.76,5
664,2667,Fundamentals of Digital Marketing,Jessica Martinez,33.6,Yes,Beginner,4,8794,304.59,0.633,No,26.34,3
34767,7320,Project Management Fundamentals,Liam Adams,71.2,No,Beginner,2.9,38900,334.57,0.746,Yes,42.61,2
7995,5496,Graphic Design with Canva,Dr. Robert Davis,73.6,Yes,Advanced,4.5,3561,78.29,0.705,Yes,7.3,3
28022,6428,Game Development with Unity,Benjamin Lewis,15.2,Yes,Advanced,3.7,30465,84.51,0.687,Yes,34.15,2
30304,282,Mobile App Development with Swift,Sarah Lee,44.2,No,Beginner,3.6,14413,108.89,0.724,Yes,20.87,5
3305,8854,AI for Business Leaders,Prof. Emily Johnson,68.6,Yes,Intermediate,3.7,41114,333.23,0.636,Yes,20.51,7
46577,8672,Project Management Fundamentals,David Wilson,51.3,Yes,Beginner,4.2,1885,257.27,0.914,Yes,25.03,7
39354,6763,Networking and System Administration,Charlotte King,20.5,No,Intermediate,4.1,21423,106.09,0.862,No,1,5
17676,7076,DevOps and Continuous Deployment,Prof. Emily Johnson,45.5,Yes,Beginner,4,41078,187.98,0.672,Yes,19.33,6
44418,5326,Game Development with Unity,Dr. Mia Walker,77.3,Yes,Advanced,4.7,6864,358.21,0.741,Yes,6.62,3
23939,8741,Mobile App Development with Swift,Alexander Young,67.4,No,Beginner,4.9,21167,284.65,0.744,Yes,45.39,7
23665,8835,Personal Finance and Wealth Building,Dr. John Smith,42.4,Yes,Beginner,2.7,12830,73.21,0.661,Yes,19.42,4
1637,9180,Python for Beginners,Charlotte King,6.8,Yes,Intermediate,3.1,20461,483.72,0.535,Yes,17.25,1
20081,7232,Project Management Fundamentals,Olivia Taylor,23.2,Yes,Beginner,3.6,30501,394.55,0.718,No,31.21,4
27729,364,Ethical Hacking Masterclass,Dr. John Smith,89,Yes,Beginner,4.3,3262,88.93,0.735,No,2.82,3
49851,7386,Personal Finance and Wealth Building,Jessica Martinez,5.5,Yes,Beginner,3.6,44691,245.66,0.887,Yes,1,8
26737,3688,Photography and Video Editing,Liam Adams,55,Yes,Intermediate,5,18662,317.78,0.683,Yes,12.63,4
28674,6551,Networking and System Administration,Benjamin Lewis,58.6,Yes,Advanced,4.3,28457,407.86,0.604,No,22.65,5
37506,4066,Ethical Hacking Masterclass,Emma Harris,41.9,No,Intermediate,4.3,12679,118.35,0.681,Yes,11.52,2
47324,5178,DevOps and Continuous Deployment,Ethan Hall,8.1,Yes,Intermediate,2.7,10330,25.87,0.659,Yes,34.92,4
46646,3980,Fitness and Nutrition Coaching,Emma Harris,58.9,No,Beginner,3.6,31850,340.18,0.651,Yes,6.97,0
855,2313,Python for Beginners,Ethan Hall,92.5,No,Intermediate,3.3,21747,449.17,0.963,Yes,43.3,1
24549,9542,Personal Finance and Wealth Building,Benjamin Lewis,96.8,No,Beginner,3.7,3389,203.76,0.722,Yes,22.21,6
38624,9362,Stock Market and Trading Strategies,Olivia Taylor,93.2,Yes,Advanced,3.8,48867,49.05,0.693,Yes,25.34,3
7393,6512,Cybersecurity for Professionals,Isabella Scott,54,Yes,Beginner,5,21100,408.76,1,Yes,32.59,3
46718,591,Python for Beginners,Charlotte King,73.7,Yes,Intermediate,4.2,37071,67.97,0.788,Yes,1,6
21557,5959,Game Development with Unity,Olivia Taylor,52.6,Yes,Intermediate,2.1,25601,260.45,0.373,Yes,1,6
38560,7148,Game Development with Unity,Sarah Lee,69.5,Yes,Beginner,2.4,34286,389.89,1,Yes,4.81,4
26310,7305,Stock Market and Trading Strategies,Ethan Hall,12.2,Yes,Intermediate,3.4,45029,48.12,0.586,Yes,31.28,6
21920,8876,Cloud Computing Essentials,Daniel White,74.5,Yes,Intermediate,4.4,36857,353.41,0.84,No,61.93,3
4932,131,Mobile App Development with Swift,Benjamin Lewis,56.3,Yes,Beginner,5,46642,473.2,0.909,Yes,16.06,5
